1: water: V/L sat. T=5, to 370, C

                          Liquid       Vapor        Liquid       Vapor        Liquid       Vapor        Liquid       Vapor        Liquid       Vapor        
Temperature  Pressure     Density      Density      Enthalpy     Enthalpy     Entropy      Entropy      Therm. Cond. Therm. Cond. Viscosity    Viscosity    Surf. Tension
(C)          (kPa)        (kg/m^3)     (kg/m^3)     (kJ/kg)      (kJ/kg)      (kJ/kg-K)    (kJ/kg-K)    (W/m-K)      (W/m-K)      (uPa-s)      (uPa-s)      (N/m)
5,0000       0,87258      999,92       0,0068022    21,020       2510,1       0,076254     9,0248       0,57052      0,017339     1518,3       9,3357       0,074942
5,5000       0,90348      999,91       0,0070306    23,122       2511,0       0,083806     9,0120       0,57147      0,017366     1494,7       9,3480       0,074870
6,0000       0,93536      999,89       0,0072657    25,224       2511,9       0,091342     8,9993       0,57242      0,017394     1471,6       9,3604       0,074799
6,5000       0,96822      999,88       0,0075077    27,326       2512,8       0,098863     8,9867       0,57337      0,017422     1449,1       9,3728       0,074727
7,0000       1,0021       999,86       0,0077566    29,426       2513,7       0,10637      8,9741       0,57432      0,017450     1427,2       9,3853       0,074655
7,5000       1,0370       999,83       0,0080127    31,527       2514,6       0,11386      8,9616       0,57527      0,017478     1405,7       9,3978       0,074583
8,0000       1,0730       999,80       0,0082762    33,627       2515,6       0,12133      8,9491       0,57622      0,017507     1384,8       9,4103       0,074511
8,5000       1,1101       999,77       0,0085471    35,726       2516,5       0,12879      8,9367       0,57717      0,017535     1364,4       9,4230       0,074439
9,0000       1,1483       999,74       0,0088258    37,825       2517,4       0,13624      8,9243       0,57811      0,017564     1344,5       9,4357       0,074366
9,5000       1,1877       999,70       0,0091124    39,923       2518,3       0,14367      8,9120       0,57906      0,017592     1325,0       9,4484       0,074294
10,000       1,2282       999,65       0,0094071    42,021       2519,2       0,15109      8,8998       0,58000      0,017621     1306,0       9,4612       0,074221
10,500       1,2700       999,61       0,0097100    44,119       2520,1       0,15849      8,8876       0,58094      0,017650     1287,4       9,4740       0,074148
11,000       1,3130       999,56       0,010021     46,216       2521,0       0,16587      8,8754       0,58188      0,017679     1269,2       9,4869       0,074075
11,500       1,3573       999,51       0,010341     48,313       2521,9       0,17325      8,8633       0,58282      0,017709     1251,5       9,4999       0,074002
12,000       1,4028       999,45       0,010670     50,409       2522,9       0,18061      8,8513       0,58376      0,017738     1234,1       9,5129       0,073929
